trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id,delay_id
bus_trip_0004001522023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1683
bus_trip_0004001532023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1684
bus_trip_0004001542023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1685
bus_trip_0004001552023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1686
bus_trip_0004001562023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1687
bus_trip_0004001572023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1688
bus_trip_0004001582023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1689
bus_trip_0004001592023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1690
bus_trip_0004001602023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1691
bus_trip_0004001612023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1692
bus_trip_0004001622023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1693
bus_trip_0004001632023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1694
bus_trip_0004001642023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1695
bus_trip_0004001652023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1696
bus_trip_0004001662023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1697
bus_trip_0004001672023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1698
bus_trip_0004001682023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1699
bus_trip_0004001692023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1700
bus_trip_0004001702023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1701
bus_trip_0004001712023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1702
bus_trip_0004001722023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1703
bus_trip_0004001732023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1704
bus_trip_0004001742023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1705
bus_trip_0004001752023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1706
bus_trip_0004001762023091120240611,3,bus_route_535,D608_T0541b_Andata_sub1,0,"Povo ""Polo Scientifico"" Est",1111100,bus_stop_247,delay_1707
bus_trip_0004001772023091120240611,3,bus_route_535,D608_T0541b_Andata_sub1,0,"Povo ""Polo Scientifico"" Est",1111100,bus_stop_247,delay_1708
bus_trip_0004001782023091120240611,3,bus_route_535,D608_T0541b_Andata_sub1,0,"Povo ""Polo Scientifico"" Est",1111100,bus_stop_247,delay_1709
bus_trip_0004001802023091120240611,3,bus_route_539,D164_F0410_Ritorno_sub1,1,"Piazza Dante ""Pal. Regione""",1111100,bus_stop_317,delay_1710
bus_trip_0004001822023091120240611,3,bus_route_400,D599_T0521h_Andata_sub1,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_247,delay_1711
bus_trip_0004001832023091120240611,3,bus_route_400,D603_T0526c_Ritorno_sub1,1,"Piazza Dante ""Dogana""",1111100,bus_stop_2549,delay_1712
bus_trip_0004001842023091120240611,3,bus_route_400,D603_T0526c_Ritorno_sub1,1,"Piazza Dante ""Dogana""",1111100,bus_stop_2549,delay_1713
bus_trip_0004001852023091120240611,3,bus_route_400,D604_T0528c_Ritorno_sub1,1,"Piazza Dante ""Dogana""",1111100,bus_stop_2549,delay_1714
